title,airedYear,broadcastAt,genre,Rank,Rating
Move to Heaven,2021,Netflix ,"Life,  Drama,  Family ",#1,9.2
Hospital Playlist,2020,"Netflix,  tvN ","Friendship,  Romance,  Life,  Medical ",#2,9.1
Flower of Evil,2020,tvN ,"Thriller,  Romance,  Crime,  Melodrama ",#3,9.1
Hospital Playlist 2,2021,"Netflix,  tvN ","Friendship,  Romance,  Life,  Medical ",#4,9.1
My Mister,2018,tvN ,"Psychological,  Life,  Drama,  Family ",#5,9.1
Prison Playbook,2017,"Netflix,  tvN ","Comedy,  Crime,  Life,  Drama ",#6,9.1
Reply 1988,2015,tvN ,"Comedy,  Romance,  Youth,  Family ",#7,9
It's Okay to Not Be Okay,2020,"Netflix,  tvN ","Psychological,  Comedy,  Romance,  Drama ",#8,9
Mr. Queen,2020,tvN ,"Historical,  Mystery,  Comedy,  Romance ",#9,9
Mother,2018,tvN ,"Thriller,  Mystery,  Psychological,  Melodrama ",#10,9
Signal,2016,tvN ,"Thriller,  Mystery,  Sci-Fi ",#11,9
Navillera,2021,"Netflix,  tvN ","Friendship,  Life,  Drama,  Family ",#12,9
Happiness,2021,tvN ,"Action,  Thriller,  Drama,  Fantasy ",#13,9
Vincenzo,2021,"Netflix,  tvN ","Comedy,  Law,  Crime,  Drama ",#14,9
Crash Landing on You,2019,"Netflix,  tvN ","Military,  Comedy,  Romance,  Political ",#15,9
SKY Castle,2018,jTBC ,"Mystery,  Psychological,  Drama,  Family ",#16,8.9
Kingdom,2020,Netflix ,"Thriller,  Historical,  Horror,  Supernatural ",#17,8.9
Mr. Sunshine,2018,"Netflix,  tvN ","Military,  Historical,  Romance,  Melodrama ",#18,8.9
Healer,2014,KBS2 ,"Action,  Thriller,  Mystery,  Romance ",#19,8.9
Stranger,2017,"Netflix,  tvN ","Thriller,  Mystery,  Law,  Drama ",#20,8.9
Goblin,2016,tvN ,"Comedy,  Romance,  Fantasy,  Melodrama ",#21,8.8
Hometown Cha-Cha-Cha,2021,"Netflix,  tvN ","Comedy,  Romance,  Life ",#22,8.8
The Uncanny Counter,2020,"Netflix,  OCN ","Action,  Mystery,  Drama,  Supernatural ",#23,8.8
D.P.,2021,Netflix ,"Action,  Military,  Comedy,  Drama ",#24,8.8
Kingdom,2019,Netflix ,"Thriller,  Historical,  Horror,  Political ",#25,8.8
The Penthouse,2020,SBS ,"Thriller,  Mystery,  Drama,  Family ",#26,8.8
Weightlifting Fairy Kim Bok Joo,2016,MBC ,"Comedy,  Romance,  Youth,  Sports ",#27,8.8
The Devil Judge,2021,tvN ,"Mystery,  Law,  Crime,  Drama ",#28,8.8
Life on Mars,2018,OCN ,"Action,  Mystery,  Comedy,  Supernatural ",#29,8.8
The Penthouse 2,2021,SBS ,"Thriller,  Mystery,  Drama,  Family ",#30,8.8
Beyond Evil,2021,jTBC ,"Thriller,  Mystery,  Psychological,  Drama ",#31,8.8
Taxi Driver,2021,SBS ,"Action,  Thriller,  Mystery,  Drama ",#32,8.8
Six Flying Dragons,2015,SBS ,"Action,  Historical,  Drama,  Political ",#33,8.8
The Guest,2018,OCN ,"Thriller,  Mystery,  Horror,  Supernatural ",#34,8.8
Racket Boys,2021,"Netflix,  SBS ","Friendship,  Comedy,  Youth,  Sports ",#35,8.8
Youth of May,2021,KBS2 ,"Historical,  Romance,  Drama,  Melodrama ",#36,8.8
Mouse,2021,tvN ,"Thriller,  Mystery,  Sci-Fi ",#37,8.7
Sweet Home,2020,Netflix ,"Horror,  Drama,  Sci-Fi,  Supernatural ",#38,8.7
18 Again,2020,jTBC ,"Romance,  Life,  Drama,  Fantasy ",#39,8.7
Chicago Typewriter,2017,tvN ,"Comedy,  Romance,  Supernatural,  Political ",#40,8.7
Defendant,2017,SBS ,"Thriller,  Mystery,  Law,  Drama ",#41,8.7
While You Were Sleeping,2017,SBS ,"Mystery,  Romance,  Drama,  Fantasy ",#42,8.7
Dear My Friends,2016,tvN ,"Life,  Drama,  Family,  Melodrama ",#43,8.7
Dr. Romantic 2,2020,SBS ,"Romance,  Drama,  Medical,  Melodrama ",#44,8.7
"Kill Me, Heal Me",2015,MBC ,"Psychological,  Comedy,  Romance,  Drama ",#45,8.7
Arthdal Chronicles Part 2,2019,"Netflix,  tvN ","Historical,  Romance,  Fantasy,  Political ",#46,8.7
Misaeng,2014,tvN ,"Friendship,  Business,  Life,  Drama ",#47,8.7
Arthdal Chronicles Part 3,2019,"Netflix,  tvN ","Historical,  Romance,  Fantasy,  Political ",#48,8.7
My Name,2021,Netflix ,"Action,  Thriller,  Crime ",#49,8.7
Hotel del Luna,2019,tvN ,"Horror,  Comedy,  Romance,  Fantasy ",#50,8.7
Dr. Romantic,2016,SBS ,"Romance,  Drama,  Medical ",#51,8.7
The Fiery Priest,2019,SBS ,"Action,  Mystery,  Comedy,  Crime ",#52,8.7
Moon Lovers,2016,SBS ,"Historical,  Romance,  Melodrama ",#53,8.7
Descendants of the Sun,2016,KBS2 ,"Action,  Comedy,  Romance,  Melodrama ",#54,8.7
Hot Stove League,2019,SBS ,"Drama,  Sports,  Melodrama ",#55,8.7
Strong Woman Do Bong Soon,2017,jTBC ,"Action,  Thriller,  Comedy,  Romance,  Drama,  Supernatural ",#56,8.7
Law School,2021,"jTBC,  Netflix ","Mystery,  Law,  Crime,  Drama ",#57,8.7
Live,2018,"Netflix,  tvN ","Friendship,  Comedy,  Romance,  Crime ",#58,8.7
Tunnel,2017,OCN ,"Thriller,  Mystery,  Sci-Fi,  Fantasy ",#59,8.7
Strangers from Hell,2019,OCN ,"Thriller,  Horror,  Psychological,  Drama ",#60,8.7
"It's Okay, That's Love",2014,SBS ,"Psychological,  Comedy,  Romance,  Drama ",#61,8.6
Eulachacha Waikiki,2018,jTBC ,"Comedy,  Life,  Youth,  Drama ",#62,8.6
The Bridal Mask,2012,KBS2 ,"Action,  Historical,  Romance,  Political ",#63,8.6
Partners for Justice 2,2019,MBC ,"Mystery,  Law,  Drama,  Medical ",#64,8.6
Jewel in the Palace,2003,MBC ,"Food,  Historical,  Romance,  Medical ",#65,8.6
My Father is Strange,2017,KBS2 ,"Comedy,  Romance,  Drama,  Family ",#66,8.6
Children of Nobody,2018,MBC ,"Thriller,  Mystery,  Psychological,  Crime,  Drama ",#67,8.6
Go Back Couple,2017,KBS2 ,"Comedy,  Romance,  Life,  School,  Drama,  Family,  Supernatural ",#68,8.6
Good Manager,2017,KBS2 ,"Business,  Comedy,  Crime,  Drama ",#69,8.6
Stranger 2,2020,"Netflix,  tvN ","Thriller,  Mystery,  Law,  Drama ",#70,8.6
My Love from the Star,2013,SBS ,"Comedy,  Romance,  Drama,  Supernatural ",#71,8.6
Empress Ki,2013,MBC ,"Historical,  Romance,  Melodrama,  Political ",#72,8.6
Age of Youth,2016,jTBC ,"Friendship,  Romance,  Life,  Youth ",#73,8.6
Mystic Pop-Up Bar,2020,"jTBC,  Netflix ","Mystery,  Comedy,  Family,  Fantasy ",#74,8.6
Cruel City,2013,jTBC ,"Action,  Thriller,  Romance,  Crime ",#75,8.6
365,2020,MBC ,"Thriller,  Mystery,  Drama,  Fantasy ",#76,8.6
Designated Survivor,2019,"Netflix,  tvN ","Thriller,  Mystery,  Drama,  Political ",#77,8.6
Just Between Lovers,2017,jTBC ,"Psychological,  Romance,  Melodrama ",#78,8.6
Squid Game,2021,Netflix ,"Action,  Thriller,  Mystery,  Drama ",#79,8.6
Avengers Social Club,2017,tvN ,"Friendship,  Comedy,  Life,  Drama ",#80,8.6
The Master's Sun,2013,SBS ,"Horror,  Comedy,  Romance,  Supernatural ",#81,8.6
Once Again,2020,KBS2 ,"Comedy,  Romance,  Drama,  Family ",#82,8.6
Save Me,2017,OCN ,"Action,  Thriller,  Mystery,  Drama ",#83,8.6
Bad Guys,2014,OCN ,"Action,  Thriller,  Psychological,  Crime ",#84,8.6
Missing,2020,OCN ,"Thriller,  Mystery,  Supernatural ",#85,8.6
Rebel,2017,MBC ,"Action,  Thriller,  Historical,  Romance ",#86,8.5
Nobody Knows,2020,SBS ,"Thriller,  Mystery,  Drama,  Melodrama ",#87,8.5
I Hear Your Voice,2013,SBS ,"Mystery,  Law,  Romance,  Supernatural ",#88,8.5
Reply 1997,2012,tvN ,"Comedy,  Romance,  Life,  Family ",#89,8.5
Kairos,2020,MBC ,"Action,  Thriller,  Drama,  Sci-Fi ",#90,8.5
Dali and the Cocky Prince,2021,KBS2 ,"Comedy,  Romance,  Drama ",#91,8.5
Yumi's Cells,2021,tvN ,"Psychological,  Comedy,  Romance,  Drama ",#92,8.5
Arthdal Chronicles Part 1,2019,"Netflix,  tvN ","Historical,  Romance,  Fantasy,  Political ",#93,8.5
Beautiful World,2019,"jTBC,  Viki ","Life,  School,  Family,  Melodrama ",#94,8.5
What's Wrong with Secretary Kim,2018,tvN ,"Friendship,  Business,  Comedy,  Romance ",#95,8.5
Vagabond,2019,"Netflix,  SBS ","Action,  Thriller,  Mystery,  Crime ",#96,8.5
Doctor John,2019,SBS ,"Mystery,  Romance,  Life,  Medical ",#97,8.5
When the Camellia Blooms,2019,"KBS2,  Netflix ","Thriller,  Comedy,  Romance,  Drama,  Family ",#98,8.5
Because This Is My First Life,2017,tvN ,"Comedy,  Romance,  Life,  Drama ",#99,8.5
Fight For My Way,2017,KBS2 ,"Business,  Comedy,  Romance,  Sports ",#100,8.5
